area_fips,own_code,industry_code,agglvl_code,annual_avg_estabs
36000,5,22,54,892
36000,5,23,54,50991
36000,5,31-33,54,17608
36000,5,42,54,32071
36000,5,44-45,54,68580
36000,5,48-49,54,13886
36000,5,51,54,19070
36000,5,52,54,29708
36000,5,53,54,36536
36000,5,54,54,89678
36000,5,55,54,5439
36000,5,56,54,37970
36000,5,61,54,11003
36000,5,62,54,61617
36000,5,71,54,15020
36000,5,72,54,54163
36000,5,81,54,68334
36000,5,99,54,76661
37000,5,11,54,3164
37000,5,21,54,241
37000,5,22,54,786
37000,5,23,54,34804
37000,5,31-33,54,11128
37000,5,42,54,21864
37000,5,44-45,54,36621
37000,5,48-49,54,9128
37000,5,51,54,9512
37000,5,52,54,18691
37000,5,53,54,17552
37000,5,54,54,58112
37000,5,55,54,2456
37000,5,56,54,25906
37000,5,61,54,5296
37000,5,62,54,35048
37000,5,71,54,5536
37000,5,72,54,25511
37000,5,81,54,28066
37000,5,99,54,1208
38000,5,11,54,1228
38000,5,21,54,662
38000,5,22,54,160
38000,5,23,54,3907
38000,5,31-33,54,884
38000,5,42,54,2905
38000,5,44-45,54,3149
38000,5,48-49,54,1620
38000,5,51,54,783
38000,5,52,54,2195
38000,5,53,54,1134
38000,5,54,54,3949
38000,5,55,54,676
38000,5,56,54,2166
38000,5,61,54,351
38000,5,62,54,3562
38000,5,71,54,544
38000,5,72,54,2210
38000,5,81,54,2240
39000,5,11,54,2065
39000,5,21,54,744
39000,5,22,54,794
39000,5,23,54,26285
39000,5,31-33,54,16512
39000,5,42,54,24434
39000,5,44-45,54,35811
39000,5,48-49,54,10742
39000,5,51,54,8836
39000,5,52,54,18876
39000,5,53,54,13778
39000,5,54,54,47856
39000,5,55,54,3180
39000,5,56,54,21611
39000,5,61,54,4400
39000,5,62,54,38305
39000,5,71,54,4918
39000,5,72,54,26945
39000,5,81,54,26492
39000,5,99,54,158
40000,5,11,54,1284
40000,5,21,54,2658
40000,5,22,54,476
40000,5,23,54,11272
40000,5,31-33,54,4092
40000,5,42,54,8216
40000,5,44-45,54,13519
40000,5,48-49,54,3454
40000,5,51,54,3073
40000,5,52,54,8446
40000,5,53,54,5126
40000,5,54,54,18058
40000,5,55,54,684
40000,5,56,54,10350
40000,5,61,54,1524
40000,5,62,54,13358
40000,5,71,54,1540
40000,5,72,54,8845
40000,5,81,54,7114
40000,5,99,54,53
41000,5,11,54,4816
41000,5,21,54,155
41000,5,22,54,321
41000,5,23,54,17239
41000,5,31-33,54,6994
41000,5,42,54,9135
41000,5,44-45,54,13964
41000,5,48-49,54,3938
41000,5,51,54,7227
41000,5,52,54,7540
41000,5,53,54,7014
41000,5,54,54,25533
41000,5,55,54,1586
41000,5,56,54,9494
41000,5,61,54,2917
41000,5,62,54,22258
41000,5,71,54,2508
41000,5,72,54,12960
41000,5,81,54,15313
41000,5,99,54,778
42000,5,11,54,2594
42000,5,21,54,1093
42000,5,22,54,724
42000,5,23,54,30594
42000,5,31-33,54,14597
42000,5,42,54,22844
42000,5,44-45,54,39462
42000,5,48-49,54,11147
42000,5,51,54,9601
42000,5,52,54,20564
42000,5,53,54,12657
42000,5,54,54,54358
42000,5,55,54,7257
42000,5,56,54,20461
42000,5,61,54,6152
42000,5,62,54,52438
42000,5,71,54,6034
42000,5,72,54,28819
42000,5,81,54,35233
44000,5,11,54,196
44000,5,21,54,15
44000,5,22,54,83
44000,5,23,54,4088
44000,5,31-33,54,1428
44000,5,42,54,3565
44000,5,44-45,54,3837
